crop,region,kebele,year,ndvi_peak,ndvi_scale,ndvi_seasonal_avg,ndvi_start_of_season,ndvi_end_of_season,ndvi_integral,ndvi_threshold,ndvi_anomaly_avg
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2010,0.5656554721030045,0.5656554721030045,0.4405090011541096,97,,6.1671260161575345,0.37718250694269134,1.666877592231075
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2011,0.5877799955819238,0.5877799955819238,0.39467898122768424,81,,5.525505737187579,0.2690086152486745,-0.05925450960851654
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2012,0.5979227657157283,0.5979227657157283,0.3754278767086234,97,,5.255990273920728,0.2741291100732138,-0.7843240068412672
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2013,0.5540852594041911,0.5540852594041911,0.4190300379593899,97,,5.866420531431459,0.3635299368846253,0.8578985007064133
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2014,0.5785485451906085,0.5785485451906085,0.3734036843879992,97,,5.227651581431989,0.2808795532998845,-0.8605627549486389
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2015,0.5499650246149963,0.5499650246149963,0.3861646511072241,81,,5.406305115501137,0.2531398018177229,-0.37993642443596115
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2016,0.5172847008331231,0.5172847008331231,0.42326254598405894,113,,5.925675643776825,0.38534117773289583,1.017310780788411
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2017,0.5332212162332749,0.5332212162332749,0.38209385121001194,81,,5.349313916940167,0.2821682807371876,-0.533258164073513
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2018,0.4769323024488766,0.4769323024488766,0.35640280840877125,113,,4.989639317722798,0.29688092842716485,-1.5008801240933625
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2019,0.4912831955314314,0.4912831955314314,0.4083873821094962,97,,5.717423349532947,0.3427224160565514,0.45705577925823787
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2020,0.4906393555920224,0.4906393555920224,0.40078598838677104,97,,5.611003837414795,0.3301209063367837,0.17075850632267978
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2021,0.4984697267104268,0.4984697267104268,0.3825743023496953,65,,5.356040232895734,0.2778069370108559,-0.5151625547566447
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2022,0.4879116384751325,0.4879116384751325,0.35450897973996465,81,,4.963125716359505,0.2832165797778339,-1.572208883405691
