crop,region,kebele,year,seasonal_rainfall_total,onset_date,cessation_date,rainy_days_count,dry_spell_days,data_quality_flag,onset_delay_days,onset_threshold,rainy_day_threshold,dry_spell_threshold,rainfall_std_dev,rainfall_skewness
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2010,1156.7780404090881,59.0,262,35,40,OK,8.0,1.90677011013031,13.056550979614258,13.056550979614258,237.41712102830257,-1.7135012904274205
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2011,1036.580806016922,64.0,270,32,39,OK,13.0,7.879961609840393,13.060388565063477,13.060388565063477,237.41712102830257,-1.7135012904274205
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2012,891.4429149627686,51.0,257,32,43,OK,0.0,0.0,11.942363262176514,11.942363262176514,237.41712102830257,-1.7135012904274205
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2013,922.4279954433441,51.0,259,36,27,OK,0.0,1.1247488260269165,11.189619064331056,11.189619064331056,237.41712102830257,-1.7135012904274205
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2014,667.3446462154388,51.0,269,24,43,OK,0.0,0.0,11.70403003692627,11.70403003692627,237.41712102830257,-1.7135012904274205
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2015,677.0555729866028,64.0,234,24,40,OK,13.0,8.41912841796875,10.941133499145508,10.941133499145508,237.41712102830257,-1.7135012904274205
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2016,1080.5343651771545,54.0,269,29,44,OK,3.0,5.392064094543457,15.022137641906738,15.022137641906738,237.41712102830257,-1.7135012904274205
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2017,1051.953849554062,51.0,262,36,35,OK,0.0,0.0,11.761981964111328,11.761981964111328,237.41712102830257,-1.7135012904274205
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2018,984.6067886352539,51.0,249,39,33,OK,0.0,3.7032670974731445,10.67084503173828,10.67084503173828,237.41712102830257,-1.7135012904274205
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2019,1068.676034655422,51.0,264,34,43,OK,0.0,0.0,14.078224182128906,14.078224182128906,237.41712102830257,-1.7135012904274205
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2020,1113.5067694932222,67.0,264,42,27,OK,16.0,6.363185882568359,11.480884552001951,11.480884552001951,237.41712102830257,-1.7135012904274205
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2021,941.5330219268799,51.0,266,27,38,OK,0.0,0.0,15.799924850463865,15.799924850463865,237.41712102830257,-1.7135012904274205
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2022,908.3298895359039,58.0,256,30,67,OK,7.0,4.192294597625732,11.649621963500977,11.649621963500977,237.41712102830257,-1.7135012904274205
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2023,1185.7951531410217,111.0,268,42,30,OK,60.0,20.808027267456055,10.560576438903809,10.560576438903809,237.41712102830257,-1.7135012904274205
"Corn, sweet",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2024,989.9637080427783,51.0,254,40,37,OK,0.0,0.0,11.133037567138672,11.133037567138672,237.41712102830257,-1.7135012904274205
